PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=916 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=920 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=925 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=930 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=927 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=923 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=927 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=932 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=929 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=948 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=994 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=990 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=995 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=1000 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=1013 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=1010 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=1015 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=1020 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=1041 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=1094 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=1131 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=1128 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=1149 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=1158 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=1161 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=1174 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=1198 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=1198 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=1227 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=1183 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=1082 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=1031 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=1053 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=1081 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=1094 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=1115 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=1144 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=1157 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=1170 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=1191 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=1160 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=1124 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=1128 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=1166 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=1187 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=1201 ms
