PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=75.7 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=39.5 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=35.2 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=64.5 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=86.6 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=91.5 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=159 ms
