PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=346 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=245 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=168 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=158 ms
