PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=221 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=222 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=235 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=224 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=221 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=240 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=173 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=186 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=183 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=189 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=180 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=264 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=258 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=225 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=189 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=185 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=174 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=189 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=188 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=191 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=198 ms
